1,9909,2.5
1,11360,3
1,819,3
1,1103,2
1,11216,4
1,11778,2
1,665,2
1,783,2
1,6114,3.5
1,1598,2
1,152,2.5
1,3179,1
1,1051,4
1,97,4
1,8393,3
1,847,2
1,8916,2
1,9426,2.5
1,36819,1
1,11072,3
2,710,4
2,4584,5
2,9603,5
2,807,4
2,629,4
2,11448,3
2,2054,3
2,197,4
2,16388,3
2,568,5
2,414,4
2,8963,3
2,1572,3
2,6520,3
2,1642,3
2,11472,3
2,9804,3
2,22625,5
2,2292,1
2,8984,3
2,522,3
2,17207,3
2,628,4
2,9587,4
2,18183,5
2,4476,5
2,11318,3
2,3036,4
2,6950,3
2,680,4
2,11450,3
2,14334,4
2,11395,2
2,9905,1
2,2064,3
2,9331,4
2,10731,4
2,13,3
2,712,3
2,8587,3
2,854,3
2,36593,2
2,12280,3
2,2788,3
2,1637,3
2,10395,3
2,8011,2
2,2758,3
2,37233,4
2,5503,3
2,10612,4
2,9386,2
2,329,4
2,9593,3
2,11971,3
2,788,4
2,9800,4
2,713,4
2,1245,4
2,424,4
2,12519,4
2,858,3
2,10635,3
2,9479,5
2,10057,3
2,9066,5
2,771,3
2,251,3
2,812,3
2,280,5
2,581,5
2,268,5
2,274,3
2,10112,3
2,10539,4
3,11359,3
3,197,4
3,1024,3.5
3,11008,3
3,680,4.5
3,278,5
3,888,2.5
3,13,5
3,1637,2.5
3,424,3
3,812,3
3,268,3
3,274,3
3,10020,2
3,664,3.5
3,627,4
3,9303,3
3,2493,5
3,1892,3
3,343,4
3,1633,3
3,11967,4
3,607,3.5
3,597,4.5
3,1878,4
3,857,4
3,10683,4
3,8913,3
3,9032,3
3,10279,3.5
3,620,3
3,745,3.5
3,11601,4
3,14,4
3,550,5
3,10406,3
3,10559,4
3,641,5
3,557,3
3,1430,3.5
3,12,3
3,122,2.5
3,38,3
3,1777,3.5
3,558,3
3,44756,3.5
3,752,3.5
3,3683,4.5
3,1251,4.5
3,155,3
3,34767,4
4,710,4
4,9598,5
4,33542,5
4,11000,5
4,414,4
4,9482,3
4,1642,3
4,11,5
4,9058,4
4,680,5
4,193,3
4,9331,5
4,13,5
4,712,5
4,8587,5
4,854,4
4,36955,3
4,2758,3
4,6075,3
4,9350,4
4,9612,1
4,11566,4
4,9739,4
4,2019,4
4,329,5
4,78,5
4,812,5
4,280,5
4,581,3
4,408,5
4,10895,5
4,11827,4
4,10112,5
4,238,5
4,426,5
4,239,4
4,963,5
4,630,5
4,10869,4
4,15944,4
4,11224,5
4,433,5
4,11114,5
4,12335,5
4,12092,5
4,10948,5
4,562,5
4,252,5
4,623,5
4,500,5
4,601,5
4,11843,5
4,2756,5
4,762,5
4,11455,5
4,1891,5
4,2493,5
4,85,5
4,679,5
4,185,5
4,28,5
4,1892,5
4,769,5
4,348,5
4,539,5
4,525,5
4,600,5
4,279,5
4,703,5
4,218,5
4,18971,5
4,13667,5
4,694,5
4,235,4
4,137,5
4,105,5
4,3034,5
4,756,5
4,2640,4
4,11031,5
4,89,5
4,12104,4
4,639,4
4,32076,4
4,8851,5
4,11349,5
4,199,4
4,152,4
4,174,3
4,154,4
4,168,3
4,364,3
4,621,5
4,578,5
4,579,4
4,2322,5
4,330,3
4,607,5
4,10890,4
4,9281,5
4,617,1
4,10622,5
4,95,4
4,944,2
4,1051,5
4,1366,5
4,380,5
4,13597,3
4,2108,5
4,609,5
4,941,5
4,943,3
4,927,2
4,9340,5
4,16084,4
4,3170,5
4,859,4
4,841,4
4,10957,4
4,9570,4
4,10122,5
4,9354,3
4,1779,5
4,9325,5
4,10340,5
4,10144,4
4,12230,5
4,13380,5
4,10693,5
4,14822,5
4,10249,4
4,10882,5
4,2619,5
4,53565,5
4,97,4
4,6471,5
4,9442,3
4,227,5
4,87,5
4,2907,4
4,11639,5
4,4978,4
4,11976,4
4,15144,5
4,34584,5
4,4011,5
4,847,3
4,117,5
4,2028,4
4,11082,3
4,881,5
4,10403,5
4,14924,4
4,9749,4
4,1368,4
4,9326,5
4,1367,4
4,11815,5
4,192,5
4,9540,4
4,8592,1
4,1893,5
4,1924,5
4,30168,3
4,817,4
4,6488,4
4,620,5
4,9824,5
4,11120,4
4,11353,1
4,9267,5
4,813,5
4,11153,4
4,2280,5
4,850,5
4,9096,3
4,11797,3
4,11527,5
4,11326,5
4,10576,2
4,12662,1
4,861,4
4,9377,5
4,36819,5
4,5549,3
4,856,5
4,253,5
4,16281,3
4,11886,5
4,1621,4
4,14035,5
4,11663,5
4,29154,4
4,10998,4
4,9013,4
4,177,5
4,26578,4
4,9644,2
4,13342,4
4,24735,5
4,11287,4
4,10158,3
4,11782,5
4,1857,2
5,15602,4
5,9603,4
5,9614,4
5,11000,4
5,568,4
5,8467,3.5
5,10510,4.5
5,3049,3.5
5,13,4
5,8587,4
5,854,4
